Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
018-F5_S4_L001_R2_001	pass	0.0	pass	73.9596577336	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	16465535.0	pass	fail	pass	46.0	76.8517998374	018-F5_S4_L001_R2_001.fastq.gz	fail	pass
018-F5_S4_L002_R1_001	pass	0.0	pass	73.9733126527	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	16310276.0	pass	fail	pass	46.0	75.8857520306	018-F5_S4_L002_R1_001.fastq.gz	pass	pass
018-F5_S4_L002_R2_001	pass	0.0	pass	73.9572990059	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	16310276.0	pass	fail	pass	46.0	76.7581439277	018-F5_S4_L002_R2_001.fastq.gz	pass	pass
018-F5_S4_L003_R1_001	pass	0.0	pass	73.9723442581	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	16196058.0	pass	fail	pass	46.0	75.9634300505	018-F5_S4_L003_R1_001.fastq.gz	fail	pass
018-F5_S4_L003_R2_001	pass	0.0	pass	73.9584700178	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	16196058.0	pass	fail	pass	46.0	76.462718873	018-F5_S4_L003_R2_001.fastq.gz	fail	pass
018-F5_S4_L004_R1_001	pass	0.0	pass	73.9770694722	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	16633939.0	pass	fail	pass	46.0	75.3634267771	018-F5_S4_L004_R1_001.fastq.gz	pass	pass
018-F5_S4_L004_R2_001	pass	0.0	pass	73.9641173988	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	16633939.0	pass	fail	pass	46.0	76.2400420782	018-F5_S4_L004_R2_001.fastq.gz	pass	pass
019-F0_S5_L001_R1_001	pass	0.0	pass	73.7383576442	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14399255.0	pass	fail	pass	45.0	78.3844509167	019-F0_S5_L001_R1_001.fastq.gz	fail	pass
019-F0_S5_L001_R2_001	pass	0.0	pass	73.724311987	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14399255.0	pass	fail	pass	45.0	79.5775302457	019-F0_S5_L001_R2_001.fastq.gz	fail	pass
019-F0_S5_L002_R1_001	pass	0.0	pass	73.7341602544	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14222640.0	pass	fail	pass	45.0	78.8388443109	019-F0_S5_L002_R1_001.fastq.gz	pass	pass
019-F0_S5_L002_R2_001	pass	0.0	pass	73.7207955766	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14222640.0	pass	fail	warn	45.0	79.7361372172	019-F0_S5_L002_R2_001.fastq.gz	pass	pass
019-F0_S5_L003_R1_001	pass	0.0	pass	73.7341395884	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14164749.0	pass	fail	pass	45.0	78.8229682011	019-F0_S5_L003_R1_001.fastq.gz	fail	pass
019-F0_S5_L003_R2_001	pass	0.0	pass	73.7221474945	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14164749.0	pass	fail	pass	45.0	79.352279581	019-F0_S5_L003_R2_001.fastq.gz	fail	pass
019-F0_S5_L004_R1_001	pass	0.0	pass	73.7408230156	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14515035.0	pass	fail	pass	45.0	78.6184254457	019-F0_S5_L004_R1_001.fastq.gz	pass	pass
019-F0_S5_L004_R2_001	pass	0.0	pass	73.7301702683	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14515035.0	pass	fail	pass	45.0	79.2934729677	019-F0_S5_L004_R2_001.fastq.gz	pass	pass
019-F5_S6_L001_R1_001	pass	0.0	pass	73.7369411276	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21439600.0	pass	fail	pass	45.0	71.6214788245	019-F5_S6_L001_R1_001.fastq.gz	warn	pass
019-F5_S6_L001_R2_001	pass	0.0	pass	73.7237475979	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21439600.0	pass	fail	warn	45.0	73.5778024874	019-F5_S6_L001_R2_001.fastq.gz	fail	pass
019-F5_S6_L002_R1_001	pass	0.0	pass	73.7316694502	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21202010.0	pass	fail	pass	45.0	72.8537070957	019-F5_S6_L002_R1_001.fastq.gz	pass	pass
019-F5_S6_L002_R2_001	pass	0.0	pass	73.7198555703	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21202010.0	pass	fail	warn	45.0	73.9268363043	019-F5_S6_L002_R2_001.fastq.gz	pass	pass
019-F5_S6_L003_R1_001	pass	0.0	pass	73.7286114369	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21049170.0	pass	fail	pass	45.0	72.7910701244	019-F5_S6_L003_R1_001.fastq.gz	warn	pass
019-F5_S6_L003_R2_001	pass	0.0	pass	73.7178050726	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21049170.0	pass	fail	warn	45.0	73.3466145642	019-F5_S6_L003_R2_001.fastq.gz	fail	pass
019-F5_S6_L004_R1_001	pass	0.0	pass	73.7356130561	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21621635.0	pass	fail	pass	45.0	72.5158301714	019-F5_S6_L004_R1_001.fastq.gz	pass	pass
019-F5_S6_L004_R2_001	pass	0.0	pass	73.7262728281	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21621635.0	pass	fail	warn	45.0	73.2797473027	019-F5_S6_L004_R2_001.fastq.gz	pass	pass
029-F0_S5_L001_R1_001	pass	0.0	pass	73.7345209525	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21505603.0	pass	fail	warn	45.0	78.0491054068	029-F0_S5_L001_R1_001.fastq.gz	pass	pass
029-F0_S5_L001_R2_001	pass	0.0	pass	73.7381598647	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21505603.0	pass	fail	warn	45.0	78.9335744087	029-F0_S5_L001_R2_001.fastq.gz	pass	pass
029-F0_S5_L002_R1_001	pass	0.0	pass	73.7331394586	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20553818.0	pass	fail	warn	45.0	78.9708117255	029-F0_S5_L002_R1_001.fastq.gz	pass	pass
029-F0_S5_L002_R2_001	pass	0.0	pass	73.7429355461	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20553818.0	pass	fail	warn	45.0	79.7365898961	029-F0_S5_L002_R2_001.fastq.gz	pass	pass
029-F0_S5_L003_R1_001	pass	0.0	pass	73.7287409715	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21718396.0	pass	fail	warn	45.0	78.363229298	029-F0_S5_L003_R1_001.fastq.gz	pass	pass
029-F0_S5_L003_R2_001	pass	0.0	pass	73.7443179045	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21718396.0	pass	fail	warn	45.0	79.0697205393	029-F0_S5_L003_R2_001.fastq.gz	pass	pass
029-F0_S5_L004_R1_001	pass	0.0	pass	73.7431625857	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20365374.0	pass	fail	warn	45.0	78.9792072753	029-F0_S5_L004_R1_001.fastq.gz	pass	pass
029-F0_S5_L004_R2_001	pass	0.0	pass	73.7652254263	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20365374.0	pass	fail	warn	45.0	79.6786100084	029-F0_S5_L004_R2_001.fastq.gz	warn	pass
029-F5_S4_L001_R1_001	pass	0.0	pass	73.9623005298	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	25526433.0	pass	fail	warn	46.0	72.8325260357	029-F5_S4_L001_R1_001.fastq.gz	pass	pass
029-F5_S4_L001_R2_001	pass	0.0	pass	73.9613436785	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	25526433.0	pass	fail	warn	46.0	74.1032364182	029-F5_S4_L001_R2_001.fastq.gz	pass	pass
029-F5_S4_L002_R1_001	pass	0.0	pass	73.9633432552	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	24451762.0	pass	fail	warn	46.0	74.225459658	029-F5_S4_L002_R1_001.fastq.gz	pass	pass
029-F5_S4_L002_R2_001	pass	0.0	pass	73.9691681933	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	24451762.0	pass	fail	warn	46.0	75.1089074765	029-F5_S4_L002_R2_001.fastq.gz	pass	pass
029-F5_S4_L003_R1_001	pass	0.0	pass	73.9539499103	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	25752762.0	pass	fail	warn	46.0	73.6700579107	029-F5_S4_L003_R1_001.fastq.gz	pass	pass
029-F5_S4_L003_R2_001	pass	0.0	pass	73.9665732553	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	25752762.0	pass	fail	warn	46.0	74.207378248	029-F5_S4_L003_R2_001.fastq.gz	pass	pass
029-F5_S4_L004_R1_001	pass	0.0	pass	73.9732920351	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	24270625.0	pass	fail	warn	46.0	74.1758021281	029-F5_S4_L004_R1_001.fastq.gz	pass	pass
029-F5_S4_L004_R2_001	pass	0.0	pass	73.991535117	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	24270625.0	pass	fail	warn	46.0	74.9085411317	029-F5_S4_L004_R2_001.fastq.gz	warn	pass
030-F0_S1_L001_R1_001	pass	0.0	pass	74.1427118892	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	17843664.0	pass	fail	warn	44.0	80.7268175246	030-F0_S1_L001_R1_001.fastq.gz	pass	pass
030-F0_S1_L001_R2_001	pass	0.0	pass	74.1530794348	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	17843664.0	pass	fail	warn	44.0	81.5328875152	030-F0_S1_L001_R2_001.fastq.gz	pass	pass
030-F0_S1_L002_R1_001	pass	0.0	pass	74.1562416861	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	17316627.0	pass	fail	warn	44.0	81.1490026892	030-F0_S1_L002_R1_001.fastq.gz	pass	pass
030-F0_S1_L002_R2_001	pass	0.0	pass	74.1721545426	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	17316627.0	pass	fail	warn	44.0	81.7791590789	030-F0_S1_L002_R2_001.fastq.gz	pass	pass
030-F0_S1_L003_R1_001	pass	0.0	pass	74.1558616818	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	17808848.0	pass	fail	warn	44.0	81.1502469986	030-F0_S1_L003_R1_001.fastq.gz	pass	pass
030-F0_S1_L003_R2_001	pass	0.0	pass	74.1666311038	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	17808848.0	pass	fail	warn	44.0	81.53596313	030-F0_S1_L003_R2_001.fastq.gz	pass	pass
030-F0_S1_L004_R1_001	pass	0.0	pass	74.1702022735	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	17576945.0	pass	fail	warn	44.0	81.1504228595	030-F0_S1_L004_R1_001.fastq.gz	pass	pass
030-F0_S1_L004_R2_001	pass	0.0	pass	74.1888461846	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	17576945.0	pass	fail	warn	44.0	81.7466089527	030-F0_S1_L004_R2_001.fastq.gz	pass	pass
030-F5_S6_L001_R1_001	pass	0.0	pass	73.9662062209	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	10051347.0	pass	fail	warn	43.0	82.7550374651	030-F5_S6_L001_R1_001.fastq.gz	pass	pass
030-F5_S6_L001_R2_001	pass	0.0	pass	73.978743645	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	10051347.0	pass	fail	warn	43.0	83.2958717865	030-F5_S6_L001_R2_001.fastq.gz	pass	pass
030-F5_S6_L002_R1_001	pass	0.0	pass	73.9866899258	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	9745851.0	pass	fail	warn	43.0	83.246398769	030-F5_S6_L002_R1_001.fastq.gz	pass	pass
030-F5_S6_L002_R2_001	pass	0.0	pass	74.0046277129	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	9745851.0	pass	fail	warn	43.0	83.7917959087	030-F5_S6_L002_R2_001.fastq.gz	pass	pass
030-F5_S6_L003_R1_001	pass	0.0	pass	73.9978999109	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	10042431.0	pass	fail	warn	43.0	83.1821152786	030-F5_S6_L003_R1_001.fastq.gz	pass	pass
030-F5_S6_L003_R2_001	pass	0.0	pass	74.0113170805	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	10042431.0	pass	fail	warn	43.0	83.3181978985	030-F5_S6_L003_R2_001.fastq.gz	pass	pass
030-F5_S6_L004_R1_001	pass	0.0	pass	74.0103194197	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	9891157.0	pass	fail	warn	43.0	83.237441622	030-F5_S6_L004_R1_001.fastq.gz	pass	pass
030-F5_S6_L004_R2_001	pass	0.0	pass	74.029033105	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	9891157.0	pass	fail	warn	43.0	83.7656646008	030-F5_S6_L004_R2_001.fastq.gz	pass	pass
032-F0_S5_L001_R1_001	pass	0.0	pass	74.6998023983	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	32357517.0	pass	fail	pass	45.0	70.1352406689	032-F0_S5_L001_R1_001.fastq.gz	pass	pass
032-F0_S5_L001_R2_001	pass	0.0	pass	74.7040837219	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	32357517.0	pass	fail	pass	45.0	71.2561988031	032-F0_S5_L001_R2_001.fastq.gz	pass	pass
032-F0_S5_L002_R1_001	pass	0.0	pass	74.7064832132	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	31362874.0	pass	fail	pass	45.0	71.0305565752	032-F0_S5_L002_R1_001.fastq.gz	pass	pass
032-F0_S5_L002_R2_001	pass	0.0	pass	74.7140202457	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	31362874.0	pass	fail	pass	45.0	71.7962382682	032-F0_S5_L002_R2_001.fastq.gz	pass	pass
032-F0_S5_L003_R1_001	pass	0.0	pass	74.7085861994	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	32345184.0	pass	fail	pass	45.0	70.6693324932	032-F0_S5_L003_R1_001.fastq.gz	pass	pass
032-F0_S5_L003_R2_001	pass	0.0	pass	74.7137405062	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	32345184.0	pass	fail	pass	45.0	71.4493215936	032-F0_S5_L003_R2_001.fastq.gz	pass	pass
032-F0_S5_L004_R1_001	pass	0.0	pass	74.7142628939	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	31844996.0	pass	fail	pass	45.0	71.0152060096	032-F0_S5_L004_R1_001.fastq.gz	pass	pass
032-F0_S5_L004_R2_001	pass	0.0	pass	74.723487797	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	31844996.0	pass	fail	pass	45.0	71.758715482	032-F0_S5_L004_R2_001.fastq.gz	pass	pass
032-F5_S3_L001_R1_001	pass	0.0	warn	74.5856766399	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	44198442.0	pass	fail	pass	45.0	68.3955829821	032-F5_S3_L001_R1_001.fastq.gz	pass	pass
032-F5_S3_L001_R2_001	pass	0.0	warn	74.5913003449	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	44198442.0	pass	fail	pass	45.0	69.6267795473	032-F5_S3_L001_R2_001.fastq.gz	pass	pass
032-F5_S3_L002_R1_001	pass	0.0	warn	74.5930049425	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	42964679.0	pass	fail	pass	45.0	69.3613187407	032-F5_S3_L002_R1_001.fastq.gz	pass	pass
032-F5_S3_L002_R2_001	pass	0.0	pass	74.6021673291	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	42964679.0	pass	fail	warn	45.0	70.2549499241	032-F5_S3_L002_R2_001.fastq.gz	pass	pass
032-F5_S3_L003_R1_001	pass	0.0	warn	74.5961599327	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	44220892.0	pass	fail	pass	45.0	69.4162355071	032-F5_S3_L003_R1_001.fastq.gz	pass	pass
032-F5_S3_L003_R2_001	pass	0.0	warn	74.6026009154	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	44220892.0	pass	fail	pass	45.0	69.939328887	032-F5_S3_L003_R2_001.fastq.gz	pass	pass
032-F5_S3_L004_R1_001	pass	0.0	warn	74.6005244184	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	43589240.0	pass	fail	pass	45.0	69.4540729604	032-F5_S3_L004_R1_001.fastq.gz	pass	pass
032-F5_S3_L004_R2_001	pass	0.0	pass	74.6113784044	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	43589240.0	pass	fail	warn	45.0	70.4551560359	032-F5_S3_L004_R2_001.fastq.gz	pass	pass
040-F0_S2_L001_R1_001	pass	0.0	pass	74.4879023733	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	13579647.0	pass	fail	warn	44.0	81.5536916813	040-F0_S2_L001_R1_001.fastq.gz	pass	pass
040-F0_S2_L001_R2_001	pass	0.0	pass	74.4941928903	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	13579647.0	pass	fail	warn	44.0	82.2245023523	040-F0_S2_L001_R2_001.fastq.gz	pass	pass
040-F0_S2_L002_R1_001	pass	0.0	pass	74.4937331674	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	13144519.0	pass	fail	warn	44.0	81.9744173202	040-F0_S2_L002_R1_001.fastq.gz	pass	pass
040-F0_S2_L002_R2_001	pass	0.0	pass	74.5032634515	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	13144519.0	pass	fail	warn	44.0	82.5788031709	040-F0_S2_L002_R2_001.fastq.gz	pass	pass
040-F0_S2_L003_R1_001	pass	0.0	pass	74.4993878819	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	13597867.0	pass	fail	warn	44.0	81.7594379748	040-F0_S2_L003_R1_001.fastq.gz	pass	pass
040-F0_S2_L003_R2_001	pass	0.0	pass	74.5059251572	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	13597867.0	pass	fail	warn	44.0	82.2068715464	040-F0_S2_L003_R2_001.fastq.gz	pass	pass
040-F0_S2_L004_R1_001	pass	0.0	pass	74.5047723416	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	13350155.0	pass	fail	warn	44.0	81.9703139868	040-F0_S2_L004_R1_001.fastq.gz	pass	pass
040-F0_S2_L004_R2_001	pass	0.0	pass	74.5153817315	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	13350155.0	pass	fail	warn	44.0	82.4878198061	040-F0_S2_L004_R2_001.fastq.gz	pass	pass
040-F5_S4_L001_R1_001	pass	0.0	pass	74.4048046599	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	18865477.0	pass	fail	pass	44.0	76.9299662493	040-F5_S4_L001_R1_001.fastq.gz	pass	pass
040-F5_S4_L001_R2_001	pass	0.0	pass	74.4115388654	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	18865477.0	pass	fail	pass	44.0	78.0521187829	040-F5_S4_L001_R2_001.fastq.gz	pass	pass
040-F5_S4_L002_R1_001	pass	0.0	pass	74.4108432609	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	18304881.0	pass	fail	pass	44.0	77.5046557476	040-F5_S4_L002_R1_001.fastq.gz	pass	pass
040-F5_S4_L002_R2_001	pass	0.0	pass	74.4218486315	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	18304881.0	pass	fail	warn	44.0	78.4915652479	040-F5_S4_L002_R2_001.fastq.gz	pass	pass
040-F5_S4_L003_R1_001	pass	0.0	pass	74.4141677986	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	18858272.0	pass	fail	pass	44.0	77.5598158766	040-F5_S4_L003_R1_001.fastq.gz	pass	pass
040-F5_S4_L003_R2_001	pass	0.0	pass	74.4214200538	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	18858272.0	pass	fail	pass	44.0	78.2093271768	040-F5_S4_L003_R2_001.fastq.gz	pass	pass
040-F5_S4_L004_R1_001	pass	0.0	pass	74.4217608153	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	18578734.0	pass	fail	pass	44.0	77.2771109297	040-F5_S4_L004_R1_001.fastq.gz	pass	pass
040-F5_S4_L004_R2_001	pass	0.0	pass	74.4345599652	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	18578734.0	pass	fail	warn	44.0	78.1161979904	040-F5_S4_L004_R2_001.fastq.gz	pass	pass
KS25_S6_L001_R1_001	pass	0.0	pass	73.2929426456	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14743811.0	pass	fail	warn	46.0	79.7367346095	KS25_S6_L001_R1_001.fastq.gz	pass	pass
KS25_S6_L001_R2_001	pass	0.0	pass	73.3103096615	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14743811.0	pass	fail	warn	46.0	80.7998165644	KS25_S6_L001_R2_001.fastq.gz	pass	pass
KS25_S6_L002_R1_001	pass	0.0	pass	73.3266311892	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14444830.0	pass	fail	warn	46.0	80.4050227289	KS25_S6_L002_R1_001.fastq.gz	pass	pass
KS25_S6_L002_R2_001	pass	0.0	pass	73.3484149692	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14444830.0	pass	fail	warn	46.0	81.073202631	KS25_S6_L002_R2_001.fastq.gz	pass	pass
KS25_S6_L003_R1_001	pass	0.0	pass	73.3231992357	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14626331.0	pass	fail	warn	46.0	80.5316704428	KS25_S6_L003_R1_001.fastq.gz	pass	pass
KS25_S6_L003_R2_001	pass	0.0	pass	73.3349425088	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14626331.0	pass	fail	warn	46.0	80.8479275644	KS25_S6_L003_R2_001.fastq.gz	pass	pass
KS25_S6_L004_R1_001	pass	0.0	pass	73.3524548364	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14601136.0	pass	fail	warn	46.0	80.1615749133	KS25_S6_L004_R1_001.fastq.gz	pass	pass
KS25_S6_L004_R2_001	pass	0.0	pass	73.3712212529	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	14601136.0	pass	fail	warn	46.0	80.8592636358	KS25_S6_L004_R2_001.fastq.gz	pass	pass
KS26_S5_L001_R1_001	pass	0.0	pass	73.9305055303	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20759249.0	pass	fail	pass	46.0	75.2410362243	KS26_S5_L001_R1_001.fastq.gz	pass	pass
KS26_S5_L001_R2_001	pass	0.0	pass	73.9429434562	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20759249.0	pass	fail	pass	46.0	76.2943147968	KS26_S5_L001_R2_001.fastq.gz	pass	pass
KS26_S5_L002_R1_001	pass	0.0	pass	73.9513692877	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20435296.0	pass	fail	pass	46.0	75.7796918082	KS26_S5_L002_R1_001.fastq.gz	pass	pass
KS26_S5_L002_R2_001	pass	0.0	pass	73.968686091	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20435296.0	pass	fail	pass	46.0	76.7662994346	KS26_S5_L002_R2_001.fastq.gz	pass	pass
KS26_S5_L003_R1_001	pass	0.0	pass	73.9547640597	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20682161.0	pass	fail	pass	46.0	76.1963869271	KS26_S5_L003_R1_001.fastq.gz	pass	pass
KS26_S5_L003_R2_001	pass	0.0	pass	73.9628108978	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20682161.0	pass	fail	pass	46.0	76.3649708057	KS26_S5_L003_R2_001.fastq.gz	pass	pass
KS26_S5_L004_R1_001	pass	0.0	pass	73.9734159971	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20718475.0	pass	fail	pass	46.0	75.8299609135	KS26_S5_L004_R1_001.fastq.gz	pass	pass
KS26_S5_L004_R2_001	pass	0.0	pass	73.9862761617	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20718475.0	pass	fail	pass	46.0	76.4883442139	KS26_S5_L004_R2_001.fastq.gz	pass	pass
KS27_S1_L001_R1_001	pass	0.0	pass	73.8989794767	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20074505.0	pass	fail	pass	45.0	75.5954113883	KS27_S1_L001_R1_001.fastq.gz	pass	pass
KS27_S1_L001_R2_001	pass	0.0	pass	73.9108689355	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20074505.0	pass	fail	pass	45.0	76.8816603737	KS27_S1_L001_R2_001.fastq.gz	pass	pass
KS27_S1_L002_R1_001	pass	0.0	pass	73.9115962572	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	19665966.0	pass	fail	pass	45.0	76.4138926732	KS27_S1_L002_R1_001.fastq.gz	pass	pass
KS27_S1_L002_R2_001	pass	0.0	pass	73.9280224017	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	19665966.0	pass	fail	pass	45.0	77.3543251511	KS27_S1_L002_R2_001.fastq.gz	pass	pass
